Front Range Electric,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
Time  to Maturity (Years),15.0,,Settlement Date,2020-07-30 00:00:00,,Required Rate,Price
Cou[on Rate,0.06,,Maturity Date,2035-07-30 00:00:00,,0,1900
Required Rate,0.068,,First Call Date,2323-07-30 00:00:00,,0.01,1694.8513491275733
Frequency,2.0,,,,,0.02,1516.154164425752
Face Value,1000.0,,,,,0.03,1360.237570093509
Selling Rate,920.0,,,,,0.04,1223.964555510044
Call Premium,0.04,,,,,0.05,1104.6514629638057
Year to Call,3.0,,,,,0.06,999.9999999999999
,,,,,,0.07,908.039772943186
Highest Value,925.5013625785325,,Value,925.501362578533,,0.08,827.079666993355
Current Yield,0.06482972627164421,,Yield to Maturity,0.06862462060263994,,0.09,755.6666718356677
Yield to Maturity,0.06862462061576785,,Yield to Call,0.06521739133462526,,0.1,692.5509794623433
One Year Return Rate,0.0744405813141451,,One Year Return Rate,0.07444058131414577,,0.11,636.6563707219485
Yield to Call,0.10340577497621109,,,,,0.12,587.0550654553172
,,,,,,0.13,542.9463432898992
,,,,,,0.14,503.63835265976553
,,,,,,0.15,468.53261804880395
